"","Location","lat","lng","location","screen_name","username","user_id","tweet_id","timestamp","timestamp_epochs","text","requesting_help","disaster","languages"
"107","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192897714582736896,"2019-11-08 20:12:32",1573243952,"thoughts san francisco sonoma state students",0,"fire","en"
"108","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191539149158764544,"2019-11-05 02:14:05",1572920045,"thoughts san francisco smoke damage challenges north",0,"fire","en"
"109","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191457476350054400,"2019-11-04 20:49:33",1572900573,"thoughts san francisco resource center to help kincade",1,"fire","en"
"110","Santa Rosa, CA, USA",38.440429,-122.7140548,"Santa Rosa, CA","ChantelleHLee","Chantelle Lee",4875597740,1192960841869430784,"2019-11-09 00:23:23",1573259003,"healdsburg is holding a welcome home event for residents after the forced them to leave their town maggie medeiros her husband hank skewis and their friend linda cott came to thank first responders they put their lives on the line everyday for us medeiros at healdsburg plaza",0,"fire","en"
"111","Santa Rosa, CA, USA",38.440429,-122.7140548,"Santa Rosa, CA","Howard_Pen4Rent","Howard Daniel",4903665830,1191783033067565056,"2019-11-05 18:23:11",1572978191,"latest blog post safe home warm and grateful  or for entire blog",0,"fire","en"
"112","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1194805667095166720,"2019-11-14 02:34:04",1573698844,"thoughts san francisco sonoma county looking for",0,"fire","en"
"113","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1194718713867427840,"2019-11-13 20:48:32",1573678112,"thoughts san francisco state puc to investigate",0,"fire","en"
"114","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1193235690202390528,"2019-11-09 18:35:32",1573324532,"thoughts san francisco wine country wildfire",0,"fire","en"
"115","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192986672687804416,"2019-11-09 02:06:02",1573265162,"thoughts san francisco low amount of burned homes",0,"fire","en"
"116","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192897714582736896,"2019-11-08 20:12:32",1573243952,"thoughts san francisco sonoma state students",0,"fire","en"
"117","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191539149158764544,"2019-11-05 02:14:05",1572920045,"thoughts san francisco smoke damage challenges north",0,"fire","en"
"118","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191457476350054400,"2019-11-04 20:49:33",1572900573,"thoughts san francisco resource center to help kincade",1,"fire","en"
"119","United States",37.09024,-95.712891,"United States","phillipkntsher","Phillipkntsher",1.04e+18,1.15e+18,"7/12/19 12:14",1562933646,"as a precaution or as they say to save your own life these warnings of that hurricane in the tropical advisories for those in the mississippi valley in louisiana rush preparations where they say that you need to evacuate do so the rains and floods could be extreme thank you",0,"floods","en"
"120","United States",37.09024,-95.712891,"United States","JennieAHolland","JesusTheOnlySaviour",3182288394,1.15e+18,"7/11/19 21:13",1562879616,"louisiana declares state of emergency we all need to take this very v  via warning for areas prayers needed now for people struggling in flood waters",1,"floods","en"
"121","United States",37.09024,-95.712891,"United States","distressline","Disaster Distress",211543116,1192860962501603328,"2019-11-08 17:46:30",1573235190,"were here  at",0,"fire","en"
"122","United States",37.09024,-95.712891,"United States","bettycjung","Betty C. Jung",118788479,1191543679061823488,"2019-11-05 02:32:05",1572921125,"false color view of the burn scar from the as it appeared on october",0,"fire","en"
"123","Santa Rosa, CA, USA",38.440429,-122.7140548,"Santa Rosa, CA","ChantelleHLee","Chantelle Lee",4875597740,1192960841869430784,"2019-11-09 00:23:23",1573259003,"healdsburg is holding a welcome home event for residents after the forced them to leave their town maggie medeiros her husband hank skewis and their friend linda cott came to thank first responders they put their lives on the line everyday for us medeiros at healdsburg plaza",0,"fire","en"
"124","Santa Rosa, CA, USA",38.440429,-122.7140548,"Santa Rosa, CA","Howard_Pen4Rent","Howard Daniel",4903665830,1191783033067565056,"2019-11-05 18:23:11",1572978191,"latest blog post safe home warm and grateful  or for entire blog",0,"fire","en"
"125","Paradise, CA 95969, USA",39.7596061,-121.6219177,"Paradise, CA","CampButte","Butte County Camp Fire Lawyers",1065384201334050816,1191772757450616832,"2019-11-05 17:42:22",1572975742,"deadline to file for kincade fire damages is november",0,"fire","en"
"126","Austin, TX, USA",30.267153,-97.7430608,"Austin, TX","sarahstyles","sarah tullier",6446782,1.15e+18,"7/10/19 18:18",1562782682,"on our way to louisiana for a week pray it doesn t flood or do any serious damage there s a serious storm hurricane of some sort coming we don t need this also going do some work on my house",0,"floods","en"
"127","Austin, TX, USA",30.267153,-97.7430608,"Austin, TX","Friendly_Force","FriendlyForce_Live",1086057754245116032,1191758749284872192,"2019-11-05 16:46:42",1572972402,"join friendlyforce today",0,"fire","en"
"128","United Kingdom",55.378051,-3.435973,"United Kingdom","AceDailyNews","#AceNewsReport",743398777856331776,1191626575067963392,"2019-11-05 08:01:29",1572940889,"rt nasajpl burn scar from californias seen from space by nasas aster  ktla november  at am",0,"fire","en"
"129","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","imconleyidk","conley 🦒",3591895876,1.11e+18,"3/19/19 7:18",1552979905,"don t move south i m from south louisiana and the reason everyone drives trucks isn t because it floods every time it rains but the roads are so bad you need the grown clearance because it would fuck up a small car the potholes fuck you so hard you call them daddy",0,"floods","en"
"130","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","gmezz35","trace",427939109,1.14e+18,"6/6/19 17:56",1559843814,"imma need louisiana to stop i m too poor for flood insurance",0,"floods","en"
"131","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","AQEnvironmental","AQ Environmental",2500079881,1191574395946274816,"2019-11-05 04:34:09",1572928449,"delivering in sonoma county to reduce the damage in buildings we and buildings",0,"fire","en"
"132","United States",37.09024,-95.712891,"United States","phillipkntsher","Phillipkntsher",1.04e+18,1.15e+18,"7/12/19 12:14",1562933646,"as a precaution or as they say to save your own life these warnings of that hurricane in the tropical advisories for those in the mississippi valley in louisiana rush preparations where they say that you need to evacuate do so the rains and floods could be extreme thank you",0,"floods","en"
"133","United States",37.09024,-95.712891,"United States","JennieAHolland","JesusTheOnlySaviour",3182288394,1.15e+18,"7/11/19 21:13",1562879616,"louisiana declares state of emergency we all need to take this very v  via warning for areas prayers needed now for people struggling in flood waters",1,"floods","en"
"134","United States",37.09024,-95.712891,"United States","distressline","Disaster Distress",211543116,1192860962501603328,"2019-11-08 17:46:30",1573235190,"were here  at",0,"fire","en"
"135","United States",37.09024,-95.712891,"United States","bettycjung","Betty C. Jung",118788479,1191543679061823488,"2019-11-05 02:32:05",1572921125,"false color view of the burn scar from the as it appeared on october",0,"fire","en"
"136","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1194805667095166720,"2019-11-14 02:34:04",1573698844,"thoughts san francisco sonoma county looking for",0,"fire","en"
"137","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1194718713867427840,"2019-11-13 20:48:32",1573678112,"thoughts san francisco state puc to investigate",0,"fire","en"
"138","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1193235690202390528,"2019-11-09 18:35:32",1573324532,"thoughts san francisco wine country wildfire",0,"fire","en"
"139","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192986672687804416,"2019-11-09 02:06:02",1573265162,"thoughts san francisco low amount of burned homes",0,"fire","en"
"140","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192897714582736896,"2019-11-08 20:12:32",1573243952,"thoughts san francisco sonoma state students",0,"fire","en"
"141","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191539149158764544,"2019-11-05 02:14:05",1572920045,"thoughts san francisco smoke damage challenges north",0,"fire","en"
"142","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191457476350054400,"2019-11-04 20:49:33",1572900573,"thoughts san francisco resource center to help kincade",1,"fire","en"
"143","555 CA-1, Bodega Bay, CA 94923, USA",38.325016,-123.0394451,"West Sonoma Coast, CA","redcarwine","Red Car Wine",37976632,1191513446698733568,"2019-11-05 00:31:57",1572913917,"while the lights may go out at times the stars over continue to shine read more of our day of a day series about the recent",0,"fire","en"
"144","Santa Maria, CA, USA",34.9530337,-120.4357191,"Santa Maria, CA","rsmith779","Rick Smith",77223490,1191480728569163520,"2019-11-04 22:21:56",1572906116,"ca fire updates  am update list of the current wildfires in ca sonoma county  acres contained tehama county acres contained ventura county  acres contained",0,"fire","en"
"145","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1194805667095166720,"2019-11-14 02:34:04",1573698844,"thoughts san francisco sonoma county looking for",0,"fire","en"
"146","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1194718713867427840,"2019-11-13 20:48:32",1573678112,"thoughts san francisco state puc to investigate",0,"fire","en"
"147","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1193235690202390528,"2019-11-09 18:35:32",1573324532,"thoughts san francisco wine country wildfire",0,"fire","en"
"148","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192986672687804416,"2019-11-09 02:06:02",1573265162,"thoughts san francisco low amount of burned homes",0,"fire","en"
"149","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1192897714582736896,"2019-11-08 20:12:32",1573243952,"thoughts san francisco sonoma state students",0,"fire","en"
"150","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191539149158764544,"2019-11-05 02:14:05",1572920045,"thoughts san francisco smoke damage challenges north",0,"fire","en"
"151","San Francisco, CA, USA",37.7749295,-122.4194155,"San Francisco, CA","HainesForSF","Shaun Haines 力是亮",853007708814954496,1191457476350054400,"2019-11-04 20:49:33",1572900573,"thoughts san francisco resource center to help kincade",1,"fire","en"
